epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,66.3263,1.26268,1.48009,1.136,0.01991,0.71429,0.65669,0.52004,1.11973,3.33051,1.07592,0.000314886,0.000314886,0.000314886
55,67.4043,1.83313,1.54325,1.14607,0.01991,0.71429,0.65669,0.52004,1.11973,3.33051,1.07592,0.000314145,0.000314145,0.000314145
56,68.5718,0.95823,1.45754,0.97751,0.01991,0.71429,0.65669,0.52004,1.11973,3.33051,1.07592,0.000313156,0.000313156,0.000313156
57,69.6998,1.5634,2.02335,1.19026,0.01695,0.71429,0.64936,0.52142,0.99829,3.24567,1.03983,0.00031192,0.00031192,0.00031192
58,70.7592,1.1843,1.40138,1.07883,0.01695,0.71429,0.64936,0.52142,0.99829,3.24567,1.03983,0.000310436,0.000310436,0.000310436
59,71.9207,1.22152,1.47481,1.09697,0.01695,0.71429,0.64936,0.52142,0.99829,3.24567,1.03983,0.000308705,0.000308705,0.000308705
60,73.0047,1.03595,1.25138,1.01138,0.01576,0.71429,0.64227,0.52128,0.8989,3.15983,1.00085,0.000306726,0.000306726,0.000306726
61,74.1862,1.16424,1.36425,1.05486,0.01576,0.71429,0.64227,0.52128,0.8989,3.15983,1.00085,0.0003045,0.0003045,0.0003045
62,75.5671,1.04155,1.23104,1.01186,0.01576,0.71429,0.64227,0.52128,0.8989,3.15983,1.00085,0.000302026,0.000302026,0.000302026
63,76.8701,1.1127,1.32594,1.02226,0.01473,0.71429,0.64221,0.55305,0.88215,3.05932,0.99946,0.000299305,0.000299305,0.000299305
64,78.127,1.30507,1.55192,1.08501,0.01473,0.71429,0.64221,0.55305,0.88215,3.05932,0.99946,0.000296336,0.000296336,0.000296336
65,79.4634,1.29748,1.24588,1.07318,0.01473,0.71429,0.64221,0.55305,0.88215,3.05932,0.99946,0.00029312,0.00029312,0.00029312
66,80.8622,1.22474,1.46802,1.07,0.79771,0.60141,0.65138,0.56889,0.94087,2.98005,1.01521,0.000289656,0.000289656,0.000289656
67,82.0908,1.25198,1.47458,1.15275,0.79771,0.60141,0.65138,0.56889,0.94087,2.98005,1.01521,0.000285945,0.000285945,0.000285945
68,83.337,1.11623,1.36296,1.01759,0.79771,0.60141,0.65138,0.56889,0.94087,2.98005,1.01521,0.000281986,0.000281986,0.000281986
69,84.5199,1.2872,1.55798,1.02379,1,0.22229,0.67166,0.59079,1.05859,2.88976,1.0703,0.00027778,0.00027778,0.00027778
70,85.7473,0.84424,1.1176,0.95337,1,0.22229,0.67166,0.59079,1.05859,2.88976,1.0703,0.000273326,0.000273326,0.000273326
71,87.0659,1.08219,1.27568,1.01565,1,0.22229,0.67166,0.59079,1.05859,2.88976,1.0703,0.000268625,0.000268625,0.000268625
72,88.2491,1.31213,1.32227,1.0987,1,0.16928,0.66028,0.57063,1.06033,2.84266,1.07195,0.000263676,0.000263676,0.000263676
73,89.3686,1.13733,1.29066,1.05891,1,0.16928,0.66028,0.57063,1.06033,2.84266,1.07195,0.00025848,0.00025848,0.00025848
74,90.5793,1.32664,1.30766,1.0607,1,0.16928,0.66028,0.57063,1.06033,2.84266,1.07195,0.000253036,0.000253036,0.000253036
75,91.8351,1.01746,1.03657,0.93686,1,0.20188,0.67154,0.60612,1.06621,2.77344,1.08798,0.000247345,0.000247345,0.000247345
76,92.9162,1.09098,1.20424,1.04878,1,0.20188,0.67154,0.60612,1.06621,2.77344,1.08798,0.000241406,0.000241406,0.000241406
77,94.0987,1.12662,1.29831,0.99816,1,0.20188,0.67154,0.60612,1.06621,2.77344,1.08798,0.00023522,0.00023522,0.00023522
78,95.5677,1.31548,1.29504,1.07134,0.99858,0.23778,0.68209,0.60625,1.07983,2.70839,1.09078,0.000228786,0.000228786,0.000228786
79,96.6893,0.90448,1.27736,0.9938,0.99858,0.23778,0.68209,0.60625,1.07983,2.70839,1.09078,0.000222105,0.000222105,0.000222105
80,97.8321,1.02986,1.07075,0.98322,0.99858,0.23778,0.68209,0.60625,1.07983,2.70839,1.09078,0.000215176,0.000215176,0.000215176
81,99.0424,1.03478,1.30174,1.07716,0.9706,0.26122,0.68366,0.59507,1.05259,2.66974,1.0775,0.000208,0.000208,0.000208
82,100.132,0.78299,1.01758,1.00094,0.9706,0.26122,0.68366,0.59507,1.05259,2.66974,1.0775,0.000200576,0.000200576,0.000200576
83,101.351,1.09164,1.25929,1.00168,0.9706,0.26122,0.68366,0.59507,1.05259,2.66974,1.0775,0.000192905,0.000192905,0.000192905
84,102.641,1.18899,1.20837,1.04511,0.97562,0.27539,0.67863,0.58786,1.01841,2.65506,1.07041,0.000184986,0.000184986,0.000184986
85,103.784,0.92978,1.07101,0.95398,0.97562,0.27539,0.67863,0.58786,1.01841,2.65506,1.07041,0.00017682,0.00017682,0.00017682
86,104.899,0.99296,1.11064,0.98957,0.97562,0.27539,0.67863,0.58786,1.01841,2.65506,1.07041,0.000168406,0.000168406,0.000168406
87,105.961,0.92111,1.27024,1.02414,0.97562,0.27539,0.67863,0.58786,1.01841,2.65506,1.07041,0.000159745,0.000159745,0.000159745
88,107.126,1.18047,1.35751,1.03472,1,0.32337,0.68073,0.5975,0.99956,2.53003,1.0662,0.000150836,0.000150836,0.000150836
89,108.333,1.13998,1.23426,1.0088,1,0.32337,0.68073,0.5975,0.99956,2.53003,1.0662,0.00014168,0.00014168,0.00014168
90,109.517,0.88422,1.18869,0.95954,1,0.32337,0.68073,0.5975,0.99956,2.53003,1.0662,0.000132276,0.000132276,0.000132276
